date,home_team,away_team,team,scorer,minute,own_goal,penalty
,Brasil,Uruguay,Uruguay,Ángel Romano,60.0,False,False
,Brasil,Uruguay,Uruguay,José Pérez,65.0,False,False
,Chile,Argentina,Argentina,Miguel Dellavalle,13.0,False,False
,Argentina,Brasil,Argentina,Raúl Echeverría,40.0,False,False
,Argentina,Brasil,Argentina,Julio Libonatti,73.0,False,False
1920-03-10,Chile,Uruguay,Uruguay,Ángel Romano,37.0,False,False
1920-03-10,Chile,Uruguay,Uruguay,José Pérez,65.0,False,False
1921-02-10,Argentina,Brasil,Argentina,Julio Libonatti,27.0,False,False
1921-09-10,Paraguay,Uruguay,Paraguay,Gerardo Rivas,9.0,False,False
1921-09-10,Paraguay,Uruguay,Paraguay,Ildefonso López,66.0,False,False
1921-09-10,Paraguay,Uruguay,Uruguay,José Piendibene,83.0,False,False
1921-12-10,Brasil,Paraguay,Brasil,Ernesto Duarte Machado da Silva,21.0,False,False
1921-12-10,Brasil,Paraguay,Brasil,Ernesto Duarte Machado da Silva,44.0,False,False
1921-12-10,Brasil,Paraguay,Brasil,Aníbal Médicis Candiota,46.0,False,False
,Argentina,Paraguay,Argentina,Julio Libonatti,1.0,False,False
,Argentina,Paraguay,Argentina,Blas Saruppo,71.0,False,False
,Argentina,Paraguay,Argentina,Raúl Echeverría,76.0,False,False
,Brasil,Uruguay,Uruguay,Ángel Romano,1.0,False,False
,Brasil,Uruguay,Uruguay,Ángel Romano,8.0,False,False
,Brasil,Uruguay,Brasil,José Carlos Guimarães,53.0,False,False
,Argentina,Uruguay,Argentina,Julio Libonatti,57.0,False,False
,Brasil,Chile,Brasil,Altino Marcondes,9.0,False,False
,Chile,Uruguay,Uruguay,Juan Carlos Heguy,10.0,False,False
,Chile,Uruguay,Uruguay,Antonio Urdinarán,19.0,False,False
,Brasil,Paraguay,Brasil,Amílcar Barbuy,14.0,False,False
,Brasil,Paraguay,Paraguay,Gerardo Rivas,71.0,False,False
,Argentina,Chile,Argentina,Angel Chiessa,10.0,False,False
,Argentina,Chile,Argentina,Julio Francia,36.0,False,False
,Argentina,Chile,Argentina,Julio Francia,41.0,False,False
,Argentina,Chile,Argentina,José Gaslini,75.0,False,False
1922-05-10,Chile,Paraguay,Paraguay,Julio Ramírez,5.0,False,False
1922-05-10,Chile,Paraguay,Paraguay,Ildefonso López,78.0,False,False
1922-05-10,Chile,Paraguay,Paraguay,Luis Fretes,86.0,False,False
